data_loader_1  | loading edobtc with 86282 lines
data_loader_1  | loading fsneth with 1357 lines
data_loader_1  | loading btcgbp with 201501 lines
data_loader_1  | loading neceth with 828 lines
data_loader_1  | loading wbtusd with 302 lines
data_loader_1  | loading dateth with 81703 lines
data_loader_1  | loading knceth with 1036 lines
data_loader_1  | loading tsdust with 826 lines
data_loader_1  | loading poabtc with 1045 lines
data_loader_1  | loading uskusd with 61 lines
data_loader_1  | loading wtcusd with 2966 lines
data_loader_1  | loading ethjpy with 174959 lines
data_loader_1  | loading uskust with 35 lines
data_loader_1  | loading eosjpy with 80808 lines
data_loader_1  | loading iotgbp with 40045 lines
data_loader_1  | loading lrceth with 1784 lines
data_loader_1  | loading impusd with 2233 lines
data_loader_1  | loading qshusd with 110520 lines
data_loader_1  | loading gntbtc with 49806 lines
data_loader_1  | loading rifusd with 9043 lines
data_loader_1  | loading asteth with 333 lines
data_loader_1  | loading reqbtc with 4123 lines
data_loader_1  | loading ioteur with 149170 lines
data_loader_1  | loading rrbust with 8888 lines
data_loader_1  | loading bsvbtc with 89082 lines
data_loader_1  | loading rdneth with 4938 lines
data_loader_1  | loading kncbtc with 2551 lines
data_loader_1  | loading wbteth with 584 lines
data_loader_1  | loading omgdai with 407 lines
data_loader_1  | loading swmusd with 208 lines
data_loader_1  | loading mtnusd with 19455 lines
data_loader_1  | loading btgbtc with 217133 lines
data_loader_1  | loading tnbeth with 114003 lines
data_loader_1  | loading drneth with 265 lines
data_loader_1  | loading algust with 4259 lines
data_loader_1  | loading dthusd with 10973 lines
data_loader_1  | loading wprusd with 1341 lines
data_loader_1  | loading xlmbtc with 43935 lines
data_loader_1  | loading wprbtc with 1017 lines
data_loader_1  | loading btcjpy with 258944 lines
data_loader_1  | loading spketh with 17243 lines
data_loader_1  | loading xrpusd with 1156494 lines
data_loader_1  | loading gtxusd with 112 lines
data_loader_1  | loading leousd with 230769 lines
data_loader_1  | loading btcusd with 2586287 lines
data_loader_1  | loading xmrusd with 638574 lines
data_loader_1  | loading etheur with 342322 lines
data_loader_1  | loading spkbtc with 16860 lines
data_loader_1  | loading uosusd with 47713 lines
data_loader_1  | loading mitbtc with 5364 lines
data_loader_1  | loading maneth with 11160 lines
data_loader_1  | loading neoeth with 134839 lines
data_loader_1  | loading aidbtc with 9543 lines
data_loader_1  | loading aioeth with 7862 lines
data_loader_1  | loading xlmgbp with 6067 lines
data_loader_1  | loading iqxbtc with 6644 lines
data_loader_1  | loading dthbtc with 1457 lines
data_loader_1  | loading zecusd with 657668 lines
data_loader_1  | loading wpreth with 464 lines
data_loader_1  | loading etpbtc with 170856 lines
data_loader_1  | loading sngeth with 5693 lines
data_loader_1  | loading ufrusd with 305 lines
data_loader_1  | loading mnausd with 43809 lines
data_loader_1  | loading necbtc with 133 lines
data_loader_1  | loading xvgbtc with 18619 lines
data_loader_1  | loading inteth with 15875 lines
data_loader_1  | loading cbtbtc with 656 lines
data_loader_1  | loading aiousd with 9300 lines
data_loader_1  | loading onlusd with 3375 lines
data_loader_1  | loading sntusd with 80952 lines
data_loader_1  | loading omnbtc with 1282 lines
data_loader_1  | loading iotbtc with 608037 lines
data_loader_1  | loading okbust with 18 lines
data_loader_1  | loading pnkusd with 1875 lines
data_loader_1  | loading zbtusd with 36883 lines
data_loader_1  | loading dgbbtc with 3796 lines
data_loader_1  | loading sngbtc with 13048 lines
data_loader_1  | loading eosusd with 1036963 lines
data_loader_1  | loading triusd with 149 lines
data_loader_1  | loading bntusd with 774 lines
data_loader_1  | loading dgxusd with 42209 lines
data_loader_1  | loading rrtusd with 97539 lines
data_loader_1  | loading mgoeth with 90500 lines
data_loader_1  | loading uosbtc with 24671 lines
data_loader_1  | loading zrxbtc with 62358 lines
data_loader_1  | loading qtmusd with 192872 lines
data_loader_1  | loading aideth with 6255 lines
data_loader_1  | loading yggeth with 34334 lines
data_loader_1  | loading xraeth with 1053 lines
data_loader_1  | loading poausd with 2902 lines
data_loader_1  | loading goteth with 2609 lines
data_loader_1  | loading leoust with 50822 lines
data_loader_1  | loading fsnbtc with 1515 lines
data_loader_1  | loading repeth with 17910 lines
data_loader_1  | loading essusd with 2868 lines
data_loader_1  | loading rlcusd with 19890 lines
data_loader_1  | loading screth with 11096 lines
data_loader_1  | loading neogbp with 29118 lines
data_loader_1  | loading veteth with 130589 lines
data_loader_1  | loading xlmeur with 10494 lines
data_loader_1  | loading hotbtc with 7116 lines
data_loader_1  | loading dtxust with 26543 lines
data_loader_1  | loading neoeur with 73877 lines
data_loader_1  | loading orseth with 1254 lines
data_loader_1  | loading cndbtc with 710 lines
data_loader_1  | loading sanbtc with 111892 lines
data_loader_1  | loading esseth with 44578 lines
data_loader_1  | loading odeusd with 33692 lines
data_loader_1  | loading zrxusd with 192594 lines
data_loader_1  | loading stjbtc with 2469 lines
data_loader_1  | loading cndeth with 473 lines
data_loader_1  | loading csxeth with 612 lines
data_loader_1  | loading ioteth with 304171 lines
data_loader_1  | loading elfeth with 247881 lines
data_loader_1  | loading chzusd with 59 lines
data_loader_1  | loading trieth with 95 lines
